MATR_ALUNO,ANO,PERIODO,n_disciplinas_anteriores,taxa_aprovacao_historica,n_reprovacoes_historico,disciplina_ja_cursada,n_vezes_disciplina,MEDIA_FINAL_PRED,NUM_FALTAS_PRED,disc_1,disc_2,disc_3,disc_4,disc_5,TARGET
89,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
89,2014,1,2,0.0,2,True,2,43.88247222222222,22.80642063492064,0,1,0,0,0,REPROVADO
90,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
90,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
90,2014,1,2,0.0,2,True,2,43.88247222222222,22.80642063492064,0,1,0,0,0,APROVADO
90,2016,1,3,0.3333333333333333,2,False,0,35.79383879791236,13.143620914749025,0,0,0,1,0,REPROVADO
90,2017,1,4,0.25,3,True,1,13.84816666666667,13.95135935390774,0,0,0,1,0,REPROVADO
91,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
91,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
92,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
92,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
92,2014,2,2,0.0,2,False,0,7.030994949494951,32.428814814814814,0,1,0,0,0,REPROVADO
92,2014,1,3,0.0,3,True,2,9.527213675213677,32.40178571428571,0,0,0,0,1,REPROVADO
92,2014,2,3,0.0,3,True,1,8.706853701853701,26.707841269841268,0,0,0,0,1,REPROVADO
93,2013,2,0,0.5,0,False,0,64.27774497267146,23.435133860524004,1,0,0,0,0,REPROVADO
93,2013,2,0,0.5,0,False,0,57.32271435419491,16.822355213153333,0,0,1,0,0,REPROVADO
94,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
95,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
95,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
95,2014,1,2,0.0,2,True,2,43.88247222222222,22.80642063492064,0,1,0,0,0,REPROVADO
95,2014,2,3,0.0,3,True,3,12.881150252525252,23.878999999999998,0,1,0,0,0,REPROVADO
97,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
97,2014,2,1,0.0,1,True,1,20.25086200956479,33.00346745136529,0,1,0,0,0,REPROVADO
98,2014,1,0,0.5,0,False,0,39.30623260578766,18.298487000439444,0,1,0,0,0,REPROVADO
98,2014,2,0,0.5,0,False,0,30.718463609539413,14.440947582967189,0,1,0,0,0,APROVADO
98,2014,1,0,0.5,0,False,0,53.65434488587278,18.56984398492244,0,0,0,1,0,REPROVADO
98,2014,2,3,0.3333333333333333,2,True,1,66.90454737854738,8.249894482258787,0,0,0,1,0,APROVADO
98,2014,1,3,0.3333333333333333,2,True,1,64.88347619047619,13.217569597069595,0,0,0,0,1,APROVADO
99,2013,2,2,0.0,0,False,0,29.66644444444444,46.51994444444445,0,0,0,1,0,REPROVADO
100,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
100,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,REPROVADO
101,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
101,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,APROVADO
101,2016,1,2,0.0,2,True,1,34.141531746031745,13.72842857142857,0,0,0,1,0,REPROVADO
101,2013,1,2,0.0,2,True,1,31.320222222222224,18.657904761904767,0,0,0,0,1,REPROVADO
101,2013,2,4,0.5,2,False,0,53.39200665169672,15.553729653892027,0,0,0,0,1,APROVADO
102,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
